gender,languages_selected,education_level,major_field_of_study,cgpa,current_year,current_semester,experties_major_gpa,experties_suggest_career,student_programming_learned,mind_stress_management,learning_style,student_expectation,preferred_work_environment,work_life_balance,internship_experience,real_world_projects_completed,certifications
female,"english, sinhala",bachelor's degree,cyber security,3.36,2,2,3.68,BI Developer,"ETL Tools, Excel, DAX, Power BI",excellent,auditory,qa engineer,hybrid,excellent,yes,9,google
male,"english, sinhala",bachelor's degree,data science,2.62,3,1,2.33,DevOps Engineer,"AWS, CI/CD, Linux, Kubernetes",low,visual,software engineer,remote,average,no,8,azure
male,english,bachelor's degree,computer science,3.14,4,1,3.16,Cloud Engineer,"AWS, Kubernetes, Docker, GCP",excellent,kinesthetic,data scientist,remote,poor,no,8,none
male,"english, sinhala, tamil",bachelor's degree,computer science,3.6,4,2,3.34,Cloud Architect,"Scalability, Microservices, Networking, Security",moderate,kinesthetic,devops engineer,hybrid,average,yes,12,azure
female,"sinhala, tamil",bachelor's degree,data science,3.54,3,1,2.29,Cybersecurity Analyst,"Linux, Risk Analysis, Networking, SIEM",moderate,kinesthetic,data scientist,remote,average,no,11,none
male,"tamil, english",bachelor's degree,information technology,2.49,2,1,3.17,Ethical Hacker,"Kali Linux, Python, Wireshark, Nmap",excellent,kinesthetic,data scientist,onsite,excellent,no,0,aws
female,english,bachelor's degree,cyber security,2.97,1,1,2.99,Security Engineer,"IAM, Linux, Cloud Security, Encryption",excellent,visual,qa engineer,remote,excellent,no,4,google
female,sinhala,bachelor's degree,data science,3.39,2,1,3.59,Information Security Analyst,"Incident Response, SIEM, Risk Assessment, Compliance",moderate,auditory,software engineer,hybrid,poor,no,5,cisco
female,english,bachelor's degree,cyber security,3.11,2,1,3.27,Network Engineer,"Firewalls, Cisco, Switching, VPN",moderate,auditory,devops engineer,onsite,average,yes,9,azure
male,tamil,bachelor's degree,software engineering,2.78,1,1,2.35,System Administrator,"Windows Server, Virtualization, Linux, Bash",moderate,kinesthetic,security engineer,onsite,average,yes,6,google
male,sinhala,bachelor's degree,computer science,3.03,4,1,3.16,IT Support Engineer,"Networking, Windows, Ticketing Tools, Active Directory",low,auditory,software engineer,remote,poor,no,10,azure
male,sinhala,bachelor's degree,software engineering,3.01,1,1,3.4,Hardware Engineer,"Electronics, PCB Design, Circuit Design, Arduino",excellent,auditory,qa engineer,hybrid,poor,yes,11,aws
female,"sinhala, tamil",bachelor's degree,computer science,3.63,2,1,3.97,QA Engineer,"SQL, Manual Testing, Jira, Test Cases",excellent,visual,qa engineer,remote,excellent,no,11,google
male,"tamil, english",bachelor's degree,cyber security,3.02,3,1,2.67,Software Tester,"SQL, Bug Tracking, Manual Testing, Selenium",excellent,visual,security engineer,remote,average,yes,4,aws
female,"tamil, english",bachelor's degree,information technology,3.99,1,1,3.87,Automation Test Engineer,"TestNG, Cypress, Python, CI/CD",moderate,kinesthetic,devops engineer,hybrid,excellent,yes,4,none
female,"english, sinhala",bachelor's degree,computer science,3.06,2,1,3.67,UI Designer,"Color Theory, Figma, Adobe XD, Photoshop",moderate,kinesthetic,software engineer,onsite,excellent,yes,11,azure
male,"tamil, english",bachelor's degree,data science,3.22,1,1,2.99,UX Designer,"Psychology, User Research, Figma, UX Testing",excellent,auditory,systems analyst,onsite,average,no,8,azure
female,english,bachelor's degree,information technology,2.74,2,1,2.82,Product Designer,"Prototyping, User Flow, UI Design, Design Systems",excellent,auditory,qa engineer,onsite,poor,no,10,aws
female,tamil,bachelor's degree,data science,2.87,2,1,3.35,Blockchain Developer,"Cryptography, Web3.js, Solidity, Node.js",low,visual,data scientist,onsite,poor,no,0,cisco
male,"tamil, english",bachelor's degree,computer science,2.36,2,1,2.25,IoT Engineer,"Cloud Integration, C/C++, MQTT, Raspberry Pi",low,visual,devops engineer,onsite,excellent,yes,11,google
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.02,1,2,2.8,Embedded Systems Engineer,"IoT, C/C++, Microcontrollers, RTOS",moderate,auditory,data scientist,hybrid,average,yes,2,google
female,"english, sinhala, tamil",bachelor's degree,information technology,3.8,4,1,3.75,AR/VR Developer,"C#, Unreal Engine, XR SDKs, Blender",low,auditory,security engineer,hybrid,poor,no,4,cisco
male,"english, sinhala",bachelor's degree,information technology,2.65,3,2,3.71,SEO Specialist,"Backlinks, SEO Tools, Content Strategy, HTML",low,visual,security engineer,onsite,poor,yes,9,google
female,tamil,bachelor's degree,software engineering,3.76,4,1,2.65,IT Support Specialist,"Troubleshooting, Ticketing Systems, Hardware, Networking",low,kinesthetic,data scientist,remote,excellent,yes,9,cisco
female,"english, sinhala, tamil",bachelor's degree,information technology,3.39,1,2,3.68,Software Engineer,"Git, OOP, SQL, Spring Boot",moderate,auditory,qa engineer,hybrid,excellent,no,1,none
male,"tamil, english",bachelor's degree,data science,3.37,3,2,3.5,Full Stack Developer,"Node.js, MongoDB, React, JavaScript",low,auditory,devops engineer,onsite,poor,no,2,cisco
female,"english, sinhala",bachelor's degree,software engineering,3.86,3,2,2.44,Frontend Developer,"CSS, Tailwind CSS, React, JavaScript",low,visual,qa engineer,onsite,excellent,yes,4,aws
female,english,bachelor's degree,cyber security,3.85,3,1,3.65,Backend Developer,"Microservices, SQL, Spring Boot, Java",excellent,kinesthetic,data scientist,hybrid,excellent,yes,0,google
male,english,bachelor's degree,software engineering,3.12,2,2,2.26,Web Developer,"JavaScript, CSS, HTML, MySQL",excellent,auditory,devops engineer,remote,poor,yes,8,aws
female,"sinhala, tamil",bachelor's degree,information technology,2.86,2,1,3.29,Mobile App Developer,"Firebase, REST API, Swift, Flutter",low,kinesthetic,devops engineer,remote,excellent,yes,0,azure
male,"english, sinhala, tamil",bachelor's degree,software engineering,3.24,2,1,2.59,Data Scientist,"Pandas, Machine Learning, Tableau, NumPy",low,visual,security engineer,remote,excellent,no,5,cisco
male,"english, sinhala, tamil",bachelor's degree,data science,3.02,2,2,2.81,Data Analyst,"Power BI, SQL, Data Visualization, Excel",moderate,auditory,qa engineer,onsite,excellent,yes,0,none
male,"tamil, english",bachelor's degree,software engineering,2.37,4,1,3.99,Machine Learning Engineer,"Python, Pandas, NumPy, TensorFlow",low,auditory,qa engineer,remote,excellent,no,11,cisco
female,tamil,bachelor's degree,computer science,3.41,3,2,3.77,AI Engineer,"Python, NLP, PyTorch, LLMs",excellent,kinesthetic,software engineer,hybrid,poor,no,2,google
male,"tamil, english",bachelor's degree,cyber security,3.45,2,1,3.06,BI Developer,"Power BI, SQL, Tableau, DAX",excellent,kinesthetic,qa engineer,remote,average,yes,5,azure
male,"tamil, english",bachelor's degree,data science,3.4,2,2,3.45,DevOps Engineer,"Jenkins, Kubernetes, Linux, AWS",moderate,kinesthetic,software engineer,remote,average,no,6,google
male,english,bachelor's degree,computer science,2.43,3,2,3.94,Cloud Engineer,"GCP, Azure, Docker, AWS",moderate,kinesthetic,devops engineer,hybrid,poor,yes,5,azure
male,"english, sinhala, tamil",bachelor's degree,software engineering,3.84,3,1,3.74,Cloud Architect,"IaC, Networking, Microservices, Scalability",moderate,visual,qa engineer,onsite,poor,yes,12,azure
female,"tamil, english",bachelor's degree,cyber security,3.89,3,1,3.99,Cybersecurity Analyst,"Linux, SIEM, Networking, Risk Analysis",low,auditory,software engineer,onsite,poor,yes,7,azure
male,"english, sinhala",bachelor's degree,data science,3.55,2,1,3.89,Ethical Hacker,"Python, Nmap, Burp Suite, Wireshark",low,visual,devops engineer,remote,excellent,no,1,aws
