Gender,District_Location,Education_Stream,Soft_Skills,Key_Skils,Current_semester,GPA,Experties_Preferred_GPA,Experties_preferred_tech_skills,Experties_preferred_Skills,Experties_Preferred_Career_Field,English_score,Ocean_Openness,Ocean_Conscientiousness,Ocean_Extraversion,Ocean_Agreeableness,Ocean_Neuroticism,Riasec_Realistic,Riasec_Investigative,Riasec_Artistic,Riasec_Social,Riasec_Enterprising,Riasec_Conventional,Learning_Style,Course_Recommendation,University_Recommendation,Skill_Gap_Score,Feedback_Score,Data_Consent,Timestamp
Female,Monaragala,Bio Stream,"Presentation Skills, Leadership, Decision Making","Kali Linux, Wireshark, Nmap, Burp Suite, Python Scripting, Ethical Hacking, OWASP Top 10",1Y1S,3.2,3.2,"Kali Linux, Wireshark, Nmap, Burp Suite, Python Scripting","Presentation Skills, Leadership, Decision Making",Cybersecurity / Network Engineer,67,5,5,4,5,5,10,4,3,2,8,7,Visual,,,,,,
Male,Anuradhapura,Commerce Stream,"Teamwork, Interpersonal Skills, Positive Attitude","AWS EC2, S3, Lambda, VPC, IAM, Terraform, CloudFormation, CloudWatch, Route53",1Y2S,4.8,3.2,"AWS EC2, S3, Lambda, VPC, IAM","Teamwork, Interpersonal Skills, Positive Attitude",DevOps / Cloud Engineer,99,5,3,1,2,4,7,9,7,9,3,3,Aural,,,,,,
Female,Polonnaruwa,Maths Stream,"Critical Thinking, Adaptability, Self-Motivation","Python, Java, OOP, Data Structures & Algorithms, Git, MySQL, Agile, IntelliJ/Eclipse",2Y1S,2,3.3,"Python, Java, OOP, Data Structures & Algorithms, Git","Critical Thinking, Adaptability, Self-Motivation",Data Science & Analytics,52,4,2,5,4,1,3,2,9,6,7,9,Kinesthetic,,,,,,
Male,Jaffna,Bio Stream,"Communication, Emotional Intelligence, Networking","React.js, Next.js, TypeScript, Tailwind CSS, Git, API Integration, Jest, Vercel",1Y1S,3.5,3,"React.js, Next.js, TypeScript, Tailwind CSS, Git","Communication, Emotional Intelligence, Networking",Frontend / Web Developer,84,3,4,3,1,3,5,6,2,3,1,5,Visual,,,,,,
Female,Kilinochchi,Technology Stream,"Problem Solving, Initiative, Resilience","SQL, Python (Pandas, NumPy), Power BI, Tableau, DAX, Data Cleaning, Statistics",2Y2S,4.2,3.3,"SQL, Python (Pandas, NumPy), Power BI, Tableau","Problem Solving, Initiative, Resilience",Data Science & Analytics,76,2,1,2,3,2,2,1,5,7,6,1,Visual,,,,,,
Male,Mannar,Bio Stream,"Leadership, Delegation, Conflict Management","Node.js, Express.js, MongoDB, JWT Auth, Postman, TypeScript, Docker",1Y2S,1.1,3.2,"Node.js, Express.js, MongoDB, JWT Auth, Postman","Leadership, Delegation, Conflict Management",DevOps / Cloud Engineer,63,1,5,5,4,4,9,7,8,1,10,8,Kinesthetic,,,,,,
Other,Vavuniya,Maths Stream,"Teamwork, Collaboration, Reliability","MERN Stack, Redux, Docker, Firebase, Git, REST APIs, MongoDB Atlas, Jest",1Y1S,2.9,3.2,"MERN Stack, Redux, Docker, Firebase, Git","Teamwork, Collaboration, Reliability",DevOps / Cloud Engineer,97,4,2,4,5,5,4,5,1,8,4,4,Mixed (Visual + Kinesthetic),,,,,,
Female,Mullaitivu,Bio Stream,"Time Management, Prioritization, Multitasking","AWS, Docker, Kubernetes, Jenkins, Ansible, GitLab CI, Helm, Prometheus, Grafana",2Y1S,3.7,3.2,"AWS, Docker, Kubernetes, Jenkins, Ansible","Time Management, Prioritization, Multitasking",DevOps / Cloud Engineer,55,3,3,2,2,2,8,3,6,4,9,6,Visual,,,,,,
Male,Batticaloa,Commerce Stream,"Public Speaking, Persuasion, Empathy","Figma, Adobe XD, User Flows, Prototyping, A/B Testing, Design Thinking, Framer",1Y2S,4.9,3,"Figma, Adobe XD, User Flows, Prototyping, A/B Testing ","Public Speaking, Persuasion, Empathy",UI/UX Designer,89,3,4,1,3,3,1,8,4,5,2,2,Read/Write,,,,,,
Female,Ampara,Maths Stream,"Communication, Feedback Reception, Growth Mindset","TensorFlow, PyTorch, OpenCV, NLP (Transformers), Docker, FastAPI, MLflow",2Y2S,1.5,3.3,"TensorFlow, PyTorch, OpenCV, NLP (Transformers), Docker","Communication, Feedback Reception, Growth Mindset",AI / Machine Learning Engineer,46,2,1,3,1,1,6,10,10,10,5,10,Visual,,,,,,
Male,Trincomalee,Bio Stream,"Creativity, Innovation, Attention to Detail","Python, R, Scikit-learn, XGBoost, Feature Engineering, Jupyter, SQL, Matplotlib/Seaborn",1Y1S,2.2,3.3,"Python, R, Scikit-learn, XGBoost, Feature Engineering","Creativity, Innovation, Attention to Detail",Data Science & Analytics,71,5,5,5,4,4,10,2,7,9,7,3,Kinesthetic,,,,,,
Female,Nuwara Eliya,Arts Stream,"Leadership, Strategic Thinking, Mentoring","Flutter, Dart, Firebase Auth, GetX/Bloc, Push Notifications, Google Maps, In-app Purchase",2Y1S,3,3,"Flutter, Dart, Firebase Auth, GetX/Bloc, Push Notifications ","Leadership, Strategic Thinking, Mentoring",Mobile App Developer,94,4,3,2,5,5,2,5,3,6,4,8,Visual,,,,,,
Other,Hambantota,Bio Stream,"Teamwork, Cooperation, Respectfulness","Python Scripting, Metasploit, Kali Linux, Network Security, Penetration Testing, SIEM",1Y2S,4.4,3.2,"Python Scripting, Metasploit, Kali Linux, Network Security, Penetration Testing","Teamwork, Cooperation, Respectfulness",Cybersecurity / Network Engineer,58,4,2,4,2,1,7,7,6,3,9,1,Aural,,,,,,
Male,Matale,Maths Stream,"Problem Solving, Logical Reasoning, Patience","Java, Spring Boot, Microservices, Git, Docker, Maven, PostgreSQL, Kafka Basics",2Y2S,1.9,3.3,"Java, Spring Boot, Microservices, Git, Docker","Problem Solving, Logical Reasoning, Patience",Data Science & Analytics,81,3,4,3,1,2,4,1,9,1,2,4,Visual,,,,,,
Female,Kalutara,Bio Stream,"Adaptability, Flexibility, Learning Agility","React.js, Node.js, Express.js, MongoDB, Redux, TypeScript, Git, Docker",1Y1S,2.6,3.2,"React.js, Node.js, Express.js, MongoDB, Redux ","Adaptability, Flexibility, Learning Agility",DevOps / Cloud Engineer,69,1,1,1,3,3,9,9,2,7,6,9,Kinesthetic,,,,,,
Male,Gampaha,Commerce Stream,"Communication, Clarity, Confidence","SQL, Python, Power BI, Excel Advanced, Statistics, Data Modeling, ETL Basics",1Y2S,1,3.3,"SQL, Python, Power BI, Excel (Advanced), Statistics;","Communication, Clarity, Confidence;",Data Science & Analytics,38,2,5,3,5,5,5,4,4,4,1,6,Visual,,,,,,
Female,Colombo,Maths Stream,"Time Management, Deadline-Oriented, Discipline","HTML5, CSS3, React.js, Bootstrap 5, JavaScript, Git, Responsive Design, SASS",2Y1S,1.3,3,"HTML5, CSS3, React.js, Bootstrap 5, JavaScript;","Time Management, Deadline-Oriented, Discipline;",Frontend / Web Developer,87,5,2,4,4,4,3,8,8,8,8,2,Visual,,,,,,
Male,Kandy,Bio Stream,"Presentation Skills, Storytelling, Charisma","Java, Spring Boot, Kafka, PostgreSQL, Docker, REST APIs, JUnit, Mockito",1Y1S,2.1,3.3,"Java, Spring Boot, Kafka, PostgreSQL, Docker;","Presentation Skills, Storytelling, Charisma;",Data Science & Analytics,53,5,3,2,2,3,8,3,1,2,3,7,Kinesthetic,,,,,,
Female,Galle,Maths Stream,"Emotional Intelligence, Self-Awareness, Relationship Building","AWS Lambda, DynamoDB, API Gateway, CDK, S3, CloudFront, Serverless Framework",2Y2S,3.4,3.2,"AWS Lambda, DynamoDB, API Gateway, CDK, S3;","Emotional Intelligence, Self-Awareness, Relationship Building;",DevOps / Cloud Engineer,96,4,4,5,1,2,1,6,5,5,10,5,Read/Write,,,,,,
Male,Matale,Bio Stream,"Critical Thinking, Decision Making, Ethics","Figma, Sketch, Principle, Interaction Design, User Research, Prototyping, Accessibility",1Y2S,4,3,"Figma, Sketch, Principle, Interaction Design, User Research;","Critical Thinking, Decision Making, Ethics;",UI/UX Designer,60,2,1,1,3,1,6,10,10,10,5,10,Visual,,,,,,
Other,Kurunegala,Technology Stream,"Leadership, Vision, Inspiration","Python, Django/Flask, PostgreSQL, Git, Docker, REST APIs, Celery, Redis",1Y1S,2.7,3.3,"Python, Django/Flask, PostgreSQL, Git, Docker;","Leadership, Vision, Inspiration;",Data Science & Analytics,74,3,5,2,4,5,9,5,6,6,6,6,Visual,,,,,,
Female,Ratnapura,Commerce Stream,"Teamwork, Inclusivity, Supportiveness  Teamwork, Inclusivity, Supportiveness","Python, Pandas, Scikit-learn, TensorFlow, SQL, Feature Engineering, Model Deployment",2Y1S,3.9,3.3,"Python, Pandas, Scikit-learn, TensorFlow, SQL;","Teamwork, Inclusivity, Supportiveness;",AI / Machine Learning Engineer,43,1,4,5,5,4,4,1,8,1,9,4,Kinesthetic,,,,,,
Male,Kegalle,Bio Stream,"Problem Solving, Resourcefulness, Proactivity","Kubernetes, Docker, Terraform, AWS EKS, Prometheus, Grafana, ArgoCD, GitOps",1Y2S,4.5,3.2,"Kubernetes, Docker, Terraform, AWS EKS, Prometheus;","Problem Solving, Resourcefulness, Proactivity;",DevOps / Cloud Engineer,91,5,3,3,1,2,7,8,4,8,3,8,Mixed (Visual + Aural),,,,,,
Female,Monaragala,Maths Stream,"Communication, Assertiveness, Diplomacy","PyTorch, TensorFlow, Docker, MLflow, Computer Vision, NLP, FastAPI, AWS SageMaker",2Y2S,1.8,3.3,"PyTorch, TensorFlow, Docker, MLflow, Computer Vision;","Communication, Assertiveness, Diplomacy;",AI / Machine Learning Engineer,66,4,2,1,2,3,1,3,1,4,8,2,Visual,,,,,,
Male,Badulla,Arts Stream,"Time Management, Planning, Goal Setting","React.js, TypeScript, Redux Toolkit, Tailwind CSS, Git, Vite, React Query",1Y1S,2.4,3,"React.js, TypeScript, Redux Toolkit, Tailwind CSS, Git;","Time Management, Planning, Goal Setting;",Frontend / Web Developer,78,3,1,4,3,1,10,7,9,2,2,5,Aural,,,,,,
Female,Galle,Bio Stream,"Creativity, Design Thinking, Curiosity","Node.js, NestJS, TypeScript, PostgreSQL, GraphQL, Prisma, Docker",2Y1S,3.2,3.3,"Node.js, NestJS, TypeScript, PostgreSQL, GraphQL;","Creativity, Design Thinking, Curiosity;",Data Science & Analytics,50,2,4,5,4,5,3,2,3,9,7,9,Kinesthetic,,,,,,
Other,Kandy,Maths Stream,"Public Speaking, Influence, Motivation","Vue.js, Node.js, Express.js, MongoDB, Vuetify, Git, Docker, Firebase",1Y2S,4.8,3.2,"Vue.js, Node.js, Express.js, MongoDB, Vuetify.","Public Speaking, Influence, Motivation.",DevOps / Cloud Engineer,85,1,5,1,5,3,8,6,7,5,1,1,Visual,,,,,,
Male,Gampaha,Commerce Stream,"Adaptability, Change Management, Open-Mindedness","Flutter, Dart, Firebase, Riverpod, REST APIs, Hive/Sqflite, App Deployment",2Y1S,2,3,"Flutter, Dart, Firebase, Riverpod, REST APIs","Adaptability, Change Management, Open-Mindedness",Mobile App Developer,72,4,3,3,3,4,5,4,2,7,10,7,Visual,,,,,,
Female,Colombo,Bio Stream,"Leadership, Accountability, Ownership","Wireshark, Nmap, Burp Suite, Python, Vulnerability Assessment, Firewall, IDS/IPS",1Y1S,3.5,3.2,"Wireshark, Nmap, Burp Suite, Python, Vulnerability Assessment","Leadership, Accountability, Ownership",Cybersecurity / Network Engineer,49,5,2,2,1,1,2,9,5,3,4,3,Read/Write,,,,,,
Male,Matara,Maths Stream,"Emotional Intelligence, Empathy, Social Skills","SQL, Python (Pandas), Tableau, Power BI, Data Warehousing, Statistics, Looker Basics",2Y2S,4.2,3.3,"SQL, Python (Pandas), Tableau, Power BI, Data Warehousing;","Emotional Intelligence, Empathy, Social Skills;",Data Science & Analytics,98,3,1,4,4,2,6,10,10,10,5,10,Kinesthetic,,,,,,
Female,Jaffna,Bio Stream,"Teamwork, Coordination, Trust Building","C#, .NET Core, SQL Server, Git, Entity Framework, Azure Basics, xUnit",1Y2S,1.1,3.3,"C#, .NET Core, SQL Server, Git, Entity Framework;","Teamwork, Coordination, Trust Building;",Data Science & Analytics,62,2,4,3,2,5,4,3,8,1,9,4,Visual,,,,,,
Male,Kilinochchi,Technology Stream,"Critical Thinking, Research Skills, Objectivity","Figma, Adobe XD, Wireframing, User Testing, Design Systems, HTML/CSS Basics",2Y1S,2.9,3,"Figma, Adobe XD, Wireframing, User Testing, Design Systems;","Critical Thinking, Research Skills, Objectivity;",Frontend / Web Developer,80,1,5,5,5,2,9,7,2,8,7,6,Visual,,,,,,
Other,Mannar,Arts Stream,"Communication, Writing Skills, Listening","AWS EC2, RDS, VPC, IAM, Terraform, CloudWatch, ECS, Route53, Security Groups",1Y1S,3.7,3.2,"AWS EC2, RDS, VPC, IAM, Terraform;","Communication, Writing Skills, Listening;",DevOps / Cloud Engineer,56,5,2,2,3,4,3,1,5,5,4,2,Kinesthetic,,,,,,
Female,Vavuniya,Maths Stream,"Problem Solving, Troubleshooting, Calmness","Python, FastAPI, PostgreSQL, Docker, SQLAlchemy, Pydantic, Redis",2Y2S,4.9,3.3,"Python, FastAPI, PostgreSQL, Docker, SQLAlchemy;","Problem Solving, Troubleshooting, Calmness;",Data Science & Analytics,90,4,3,4,2,1,7,5,3,7,6,7,Aural,,,,,,
Male,Mullaitivu,Bio Stream,"Time Management, Efficiency, Focus","Python, Scikit-learn, Pandas, XGBoost, Hyperparameter Tuning, Jupyter, SQL",1Y2S,1.5,3.3,"Python, Scikit-learn, Pandas, XGBoost, Hyperparameter Tuning;","Time Management, Efficiency, Focus;",Data Science & Analytics,45,3,1,1,4,3,10,8,7,3,1,1,Visual,,,,,,
Female,Hambantota,Commerce Stream,"Presentation Skills, Visual Communication, Engagement","Angular, TypeScript, RxJS, NgRx, SCSS, Git, Material UI, Karma/Jasmine",1Y1S,2.2,3,"Angular, TypeScript, RxJS, NgRx, SCSS;","Presentation Skills, Visual Communication, Engagement;",Frontend / Web Developer,70,3,4,5,1,5,1,2,6,6,3,8,Kinesthetic,,,,,,
Male,Trincomalee,Maths Stream,"Leadership, Team Motivation, Conflict Resolution","Docker, Kubernetes, Jenkins, Terraform, Linux Admin, Bash, Ansible, Helm",2Y1S,3,3.2,"Docker, Kubernetes, Jenkins, Terraform, Linux Admin;","Leadership, Team Motivation, Conflict Resolution;",DevOps / Cloud Engineer,93,2,5,4,5,3,8,6,1,2,8,5,Visual,,,,,,
Female,Ampara,Bio Stream,"Creativity, Brainstorming, Originality","React.js, Node.js, Express.js, MongoDB, Redux, Docker, Git, JWT",1Y2S,4.4,3.2,"React.js, Node.js, Express.js, MongoDB, Redux;","Creativity, Brainstorming, Originality;",DevOps / Cloud Engineer,54,5,2,3,3,2,2,9,9,9,2,9,Read/Write,,,,,,
Male,Batticaloa,Maths Stream,"Teamwork, Collaboration, Consensus Building","TensorFlow, Keras, PyTorch, Docker, MLflow, AWS, Computer Vision, GANs",2Y2S,1.9,3.3,"TensorFlow, Keras, PyTorch, Docker, MLflow;","Teamwork, Collaboration, Consensus Building;",AI / Machine Learning Engineer,82,4,3,1,1,4,5,4,4,4,10,3,Visual,,,,,,
Other,Nuwara Eliya,Bio Stream,"Communication, Negotiation, Persuasion","Flutter, Dart, Firebase Auth, Bloc, Push Notifications, Google Maps, Payment Gateway",1Y1S,2.6,3,"Flutter, Dart, Firebase Auth, Bloc, Push Notifications;","Communication, Negotiation, Persuasion;",Mobile App Developer,61,1,1,2,2,1,6,10,10,10,5,10,Kinesthetic,,,,,,
Female,Colombo,Arts Stream,"Adaptability, Quick Learning, Versatility","Java, Spring Boot, MySQL, Git, REST APIs, Docker, Maven, IntelliJ",2Y1S,1,3.3,"Java, Spring Boot, MySQL, Git, REST APIs;","Adaptability, Quick Learning, Versatility;",Data Science & Analytics,77,2,4,4,4,5,9,1,2,8,4,6,Mixed (Kinesthetic + Visual),,,,,,
Male,Gampaha,Maths Stream,"Emotional Intelligence, Self-Regulation, Motivation","Kali Linux, Metasploit, Wireshark, Python, CEH Concepts, Penetration Testing",1Y2S,1.3,3.2,"Kali Linux, Metasploit, Wireshark, Python, CEH Concepts;","Emotional Intelligence, Self-Regulation, Motivation;",Cybersecurity / Network Engineer,47,3,5,2,5,1,1,6,9,5,6,2,Visual,,,,,,
Female,Kandy,Bio Stream,"Problem Solving, Analytical Skills, Detail-Oriented","SQL, Python, Power BI, Excel (Power Query), Statistics, Data Visualization",2Y2S,2.1,3.3,"SQL, Python, Power BI, Excel (Power Query), Statistics;","Problem Solving, Analytical Skills, Detail-Oriented;",Data Science & Analytics,86,5,3,1,3,3,10,4,3,7,8,7,Aural,,,,,,
Male,Galle,Commerce Stream,"Time Management, Scheduling, Reliability","Node.js, Express.js, MongoDB, Mongoose, JWT, Docker, Git",1Y1S,3.4,3.2,"Node.js, Express.js, MongoDB, Mongoose, JWT;","Time Management, Scheduling, Reliability;",DevOps / Cloud Engineer,59,5,1,5,2,4,3,8,8,2,3,3,Visual,,,,,,
Female,Matara,Bio Stream,"Public Speaking, Confidence, Articulation","MERN Stack, TypeScript, Docker, Git, Redux, MongoDB Atlas, Postman",1Y2S,4,3.2,"MERN Stack, TypeScript, Docker, Git, Redux;","Public Speaking, Confidence, Articulation;",DevOps / Cloud Engineer,75,4,2,3,1,2,7,3,6,9,7,8,Kinesthetic,,,,,,
Male,Kalutara,Maths Stream,"Leadership, Empowerment, Guidance","HTML5, CSS3, JavaScript, React.js, Tailwind CSS, Git, Responsive Design",2Y1S,2.7,3,"HTML5, CSS3, JavaScript, React.js, Tailwind CSS;","Leadership, Empowerment, Guidance;",Frontend / Web Developer,42,3,4,1,4,5,4,7,4,4,5,4,Visual,,,,,,
Female,Kegalle,Bio Stream,"Teamwork, Cooperation, Dependability","Figma, Prototyping, User Personas, Journey Mapping, Usability Testing, WCAG",1Y1S,3.9,3,"Figma, Prototyping, User Personas, Journey Mapping, Usability Testing;","Teamwork, Cooperation, Dependability;",UI/UX Designer,100,2,5,4,5,4,8,2,7,6,2,1,Read/Write,,,,,,
Other,Ratnapura,Technology Stream,"Critical Thinking, Evaluation, Judgment","AWS, Terraform, CloudFormation, Lambda, S3, VPC, IAM, CloudTrail",2Y2S,4.5,3.2,"AWS, Terraform, CloudFormation, Lambda, S3;","Critical Thinking, Evaluation, Judgment;",DevOps / Cloud Engineer,68,1,3,2,3,2,2,9,1,1,9,9,Kinesthetic,,,,,,
Male,Badulla,Commerce Stream,"Communication, Clarity, Friendliness","Kubernetes, Docker, GitOps, ArgoCD, Prometheus, Grafana, Linux",1Y2S,1.8,3.2,"Kubernetes, Docker, GitOps, ArgoCD, Prometheus;","Communication, Clarity, Friendliness;",DevOps / Cloud Engineer,83,4,2,5,1,1,5,5,5,3,1,5,Visual,,,,,,
Female,Monaragala,Bio Stream,"Creativity, Innovation, Risk-Taking","Python, Pandas, Scikit-learn, TensorFlow, Statistics, Model Evaluation, Jupyter",1Y1S,2.4,3.3,"Python, Pandas, Scikit-learn, TensorFlow, Statistics;","Creativity, Innovation, Risk-Taking;",AI / Machine Learning Engineer,57,4,1,3,2,3,9,10,10,10,10,10,Visual,,,,,,
Male,Puttalam,Maths Stream,"Presentation Skills, Confidence, Body Language","Python, Java, Git, MySQL, Spring Boot, Docker, Algorithms",2Y1S,3.2,3.3,"Python, Java, Git, MySQL, Spring Boot;","Presentation Skills, Confidence, Body Language;",Data Science & Analytics,92,3,4,2,4,5,6,8,4,5,6,2,Kinesthetic,,,,,,
Female,Kurunegala,Arts Stream,"Emotional Intelligence, Empathy, Compassion","PyTorch, TensorFlow, Scikit-learn, Docker, FastAPI, AWS SageMaker, MLflow",1Y2S,4.8,3.3,"PyTorch, TensorFlow, Scikit-learn, Docker, FastAPI;","Emotional Intelligence, Empathy, Compassion;",AI / Machine Learning Engineer,64,2,5,1,5,3,10,3,7,7,8,7,Aural,,,,,,
Male,Anuradhapura,Bio Stream,"Problem Solving, Decision Making, Logic","Flutter, Dart, Firebase, Provider, REST APIs, Git, Material Design",2Y2S,2,3,"Flutter, Dart, Firebase, Provider, REST APIs;","Problem Solving, Decision Making, Logic;",Mobile App Developer,79,1,3,4,1,4,1,6,2,4,3,3,Visual,,,,,,
Other,Polonnaruwa,Maths Stream,"Time Management, Organization, Productivity","Python, Burp Suite, Nmap, Kali Linux, OWASP, Network Security",1Y1S,3.5,3.2,"Python, Burp Suite, Nmap, Kali Linux, OWASP;","Time Management, Organization, Productivity;",Cybersecurity / Network Engineer,48,5,1,5,3,2,4,2,6,1,2,9,Kinesthetic,,,,,,
Female,Jaffna,Bio Stream,"Leadership, Visionary Thinking, Strategy","SQL, Pandas, Power BI, Tableau, Statistics, Data Cleaning, Excel",2Y1S,4.2,3.3,"SQL, Pandas, Power BI, Tableau, Statistics;","Leadership, Visionary Thinking, Strategy;",Data Science & Analytics,73,3,2,3,4,1,8,9,3,9,9,4,Visual,,,,,,
Male,Kilinochchi,Commerce Stream,"Teamwork, Unity, Camaraderie","React.js, Node.js, Express.js, MongoDB, Redux, Docker, Git",1Y2S,1.1,3.2,"React.js, Node.js, Express.js, MongoDB, Redux;","Teamwork, Unity, Camaraderie;",DevOps / Cloud Engineer,95,4,4,1,2,4,3,5,9,3,4,6,Mixed (Visual + Read/Write),,,,,,
Female,Mannar,Maths Stream,"Adaptability, Resilience, Positive Attitude","Java, Spring Boot, PostgreSQL, REST APIs, Maven, Hibernate",2Y1S,2.9,3.3,"Java, Spring Boot, PostgreSQL, REST APIs, Maven;","Adaptability, Resilience, Positive Attitude;",Data Science & Analytics,88,2,5,5,5,5,7,4,1,8,7,1,Read/Write,,,,,,
Male,Vavuniya,Bio Stream,"Communication, Active Listening, Respect","React.js, Next.js, TypeScript, Tailwind CSS, Git, Vercel",1Y1S,3.7,3,"React.js, Next.js, TypeScript, Tailwind CSS, Git;","Communication, Active Listening, Respect;",Frontend / Web Developer,41,1,3,4,4,3,2,7,8,2,1,8,Kinesthetic,,,,,,
Female,Mullaitivu,Technology Stream,"Critical Thinking, Reasoning, Insight","Adobe XD, Figma, Framer, User Research, Design Thinking, Prototyping",2Y2S,4.9,3,"Adobe XD, Figma, Framer, User Research, Design Thinking;","Critical Thinking, Reasoning, Insight;",UI/UX Designer,67,5,2,2,1,2,9,1,5,6,5,5,Visual,,,,,,
Other,Trincomalee,Bio Stream,"Public Speaking, Eloquence, Influence","Java, Python, Spring Boot, Git, Docker, MySQL, JUnit",1Y2S,1.5,3.3,"Java, Python, Spring Boot, Git, Docker;","Public Speaking, Eloquence, Influence;",Data Science & Analytics,99,4,1,3,2,1,5,10,10,10,10,10,Aural,,,,,,
Male,Ampara,Maths Stream,"Creativity, Imagination, Ideation","AWS, Docker, Kubernetes, Jenkins, Terraform, Bash, CI/CD",2Y1S,2.2,3.2,"AWS, Docker, Kubernetes, Jenkins, Terraform;","Creativity, Imagination, Ideation;",DevOps / Cloud Engineer,52,3,4,1,3,4,6,7,7,7,8,7,Visual,,,,,,
Female,Batticaloa,Commerce Stream,"Emotional Intelligence, Social Awareness, Relationship Management","AWS EC2, Lambda, S3, DynamoDB, API Gateway, CDK, Terraform",1Y1S,3,3.2,"AWS EC2, Lambda, S3, DynamoDB, API Gateway;","Emotional Intelligence, Social Awareness, Relationship Management;",DevOps / Cloud Engineer,84,2,5,4,5,2,10,4,6,4,2,3,Kinesthetic,,,,,,
